No,Tahun,Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
395,2019,radarsukabumi,https://radarsukabumi.com/berita-utama/geopark-ciletuh-palabuhanratu-dibangun-aher-diabaikan-emil/,0.82,0.98,0.84,0.94,1,,,,,
396,2019,radarsukabumi,https://radarsukabumi.com/berita-utama/geopark-dukung-green-province-2025/,0.51,0.96,0.82,0.94,1,,,,,
397,2019,radarsukabumi,https://radarsukabumi.com/berita-utama/sdm-dan-infrastruktur-jadi-prioritas-konsep-wisata-geopark-ciletuh-palabuhanratu/,0.85,0.96,0.43,0.43,1,,,,,
399,2019,radarsukabumi,https://radarsukabumi.com/berita-utama/jembatan-gantung-situ-gunung-pengelola-untung-pemkab-buntung/,0.0,0.97,0.39,0.96,1,,,,,
400,2019,radarsukabumi,https://radarsukabumi.com/kabupaten-sukabumi/objek-wisata-dibalik-geopark/,0.67,0.93,0.84,0.94,1,,,,,
401,2019,radarsukabumi,https://radarsukabumi.com/jawa-barat/geopark-rajamandala-butuh-uang-pemprov/,0.51,0.93,0.57,0.69,1,,,,,
403,2019,radarsukabumi,https://radarsukabumi.com/berita-utama/habiskan-rp500-m-hasil-baru-rp386-juta/,0.0,0.99,0.84,0.94,1,,,,,
427,2019,radarsukabumi,https://radarsukabumi.com/kabupaten-sukabumi/kawasan-geopark-kembali-terbakar-2/,0.64,0.94,0.0,0.0,1,,,,,
428,2019,radarsukabumi,https://radarsukabumi.com/kabupaten-sukabumi/latih-warga-geoprak-ciletuh-berbisnis-alfamart-gandeng-ui/,0.68,0.93,0.82,0.94,1,,,,,
430,2019,republika,https://republika.co.id/berita/q2ldjb368/perum-jamkrindo-tanam-ratusan-pohon-di-geopark-ciletuh,0.76,0.98,0.76,0.99,1,,,,,
431,2019,republika,https://republika.co.id/berita/q1xz2f423/pemkab-sukabumi-godog-ltemgtmasterplanltemgt-kembangkan-geopark-ciletuh,0.85,0.92,0.85,0.99,1,,,,,
432,2019,republika,https://republika.co.id/berita/q1gtcu383/sukabumi-ingin-jadikan-cgf-event-skala-internasional,0.39,0.96,0.85,0.99,1,,,,,
433,2019,republika,https://republika.co.id/berita/q0kncn313/geopark-ciletuh-kerja-sama-dengan-geopark-di-jepang,0.76,1.0,0.76,0.0,1,,,,,
434,2019,republika,https://republika.co.id/berita/q0kh2m428/ui-kembangkan-pusat-taman-botani-di-sukabumi,0.42,0.98,0.92,1.0,1,,,,,
435,2019,republika,https://republika.co.id/berita/pv1tje216/rolexplore-bermain-di-ciletuh-2selesai,0.56,0.82,0.89,1.0,1,,,,,
436,2019,republika,https://republika.co.id/berita/puzf8i423/pemprov-jabar-komitmen-kembangkan-geopark-ciletuh,0.8,0.98,0.81,0.99,1,,,,,
437,2019,republika,https://republika.co.id/berita/ppqky8335/pemprov-jabar-akan-bentuk-unit-khusus-geopark-ciletuh,0.8,0.89,0.91,0.99,1,,,,,
438,2019,republika,https://republika.co.id/berita/ppq2tg328/ekonomi-warga-geopark-ciletuh-sukabumi-terus-menggeliat,0.85,0.94,0.78,0.99,1,,,,,
439,2019,republika,https://republika.co.id/berita/pxx9it284/sukabumi-bangun-pelabuhan-hubungkan-ke-kawasan-emgeoparkem,0.39,0.96,0.64,0.93,1,,,,,
440,2019,republika,https://republika.co.id/berita/puitbp216/rolexplore-bermain-di-ciletuh-1,0.56,0.91,0.89,1.0,1,,,,,
441,2019,republika,https://republika.co.id/berita/po594j438/geopark-dan-jembatan-gantung-sukabumi-jadi-magnet-wisatawan,0.64,0.96,0.67,0.99,1,,,,,
453,2019,republika,https://www.republika.co.id/berita/pwrye4428/pengembangan-geopark-butuh-bantuan-pemerintah-pusat,0.51,0.96,0.93,0.9,1,,,,,
454,2019,republika,https://republika.co.id/berita/poig9c383/pemkab-pangandaran-rintis-emgeoparkem,0.0,0.84,0.76,0.81,1,,,,,
455,2019,republika,https://www.republika.co.id/berita/pw5jgq382/nasional/umum/19/07/31/pvi6g8335-jokowi-dorong-taman-bumi-kaldera-toba-diakui-unesco,0.27,0.84,0.27,0.81,1,,,,,
466,2019,republika,https://republika.co.id/berita/pwrye4428/pengembangan-geopark-butuh-bantuan-pemerintah-pusat,0.51,0.96,0.93,0.99,1,,,,,
540,2019,sindonews,https://jabar.sindonews.com/read/8377/1/poles-geopark-ciletuh-disparbud-jabar-siapkan-dana-rp126-miliar-1562321239,0.8,1.0,0.8,0.0,1,,,,,
541,2019,sindonews,https://ekbis.sindonews.com/read/1463566/34/perum-jamkrindo-lakukan-pemberdayaan-masyarakat-di-kawasan-ciletuh-1574980097,0.56,0.99,0.0,0.25,1,,,,,
561,2019,tempo,https://travel.tempo.co/read/1247717/ciletuh-geopark-festival-selama-10-hari-cek-agenda-yang-menarik,0.76,0.91,0.76,0.89,1,,,,,
575,2019,tempo,https://tekno.tempo.co/read/1239236/indonesia-usulkan-toba-dan-belitung-jadi-geopark-dunia,0.51,0.96,0.51,0.89,1,,,,,
577,2019,tempo,https://tekno.tempo.co/read/1217976/lokasi-syuting-laskar-pelangi-ini-diusulkan-jadi-geopark-dunia,0.51,0.83,0.51,0.89,1,,,,,
581,2019,tempo,https://metro.tempo.co/read/1282464/bahas-8-isu-pembangunan-11-pemda-akan-berkumpul-di-bogor/full&view=ok,0.0,0.91,0.0,0.25,1,,,,,
582,2019,tempo,https://en.tempo.co/read/1239320/indonesia-proposes-belitung-and-toba-as-unesco-global-geoparks,0.54,0.87,0.54,0.54,1,,,,,
583,2019,tempo,https://travel.tempo.co/read/1238848/600-an-geolog-dunia-datangi-lombok-bukti-pariwisata-sudah-pulih,0.0,0.89,0.51,0.62,1,,,,,
586,2019,tempo,https://bisnis.tempo.co/read/1203919/jawa-barat-segera-bebaskan-lahan-untuk-bandara-cikembar/full&view=ok,0.25,0.91,0.25,0.32,1,,,,,
611,2019,tribunnews,https://www.tribunnews.com/regional/2019/12/15/jamkrindo-ikut-hijaukan-geopark-ciletuh,0.76,0.96,0.39,0.94,1,,,,,
612,2019,tribunnews,https://travel.tribunnews.com/2019/01/14/mengenal-4-geopark-di-asia-tenggara-yang-masuk-daftar-geopark-global-unesco,0.54,0.8,0.8,0.57,1,,,,,
623,2019,tribunnews,https://www.tribunnews.com/nasional/2019/07/31/jokowi-dorong-geopark-kaldera-toba-diakui-unesco,0.54,0.84,0.54,0.9,1,,,,,
626,2019,tribunnews,https://banjarmasin.tribunnews.com/2019/10/31/menuju-ugg-begini-peluang-pegunungan-meratus-menurut-president-jaringan-geopark-indonesia,0.54,0.84,0.54,0.57,1,,,,,
629,2019,tribunnews,https://www.tribunnews.com/kilas-kementerian/2019/07/07/menpar-arief-yahya-unesco-tetapkan-sawahlunto-jadi-situs-warisan-dunia?page=all,0.16,0.93,0.0,0.2,1,,,,,
